,Ticker,Dividends,Ex-Date
0,FCCY,0.1,05/13/2021
1,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FCCY"" title=""Snapshot of 1st Constitution Bancorp's stock."">FCCY</a>",0.135,05/13/2021
2,,0.04,05/13/2021
3,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AHC"" title=""Snapshot of A. H. Belo Corp's stock."">AHC</a>",0.08,05/13/2021
4,,0.05,05/13/2021
5,,0.2,05/13/2021
6,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AGCO"" title=""Snapshot of AGCO Corp's stock."">AGCO</a>",0.63,05/13/2021
7,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ALE"" title=""Snapshot of ALLETE Inc's stock."">ALE</a>",0.21,05/13/2021
8,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ADS"" title=""Snapshot of Alliance Data Systems Corp's stock."">ADS</a>",0.08,05/13/2021
9,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AMAL"" title=""Snapshot of Amalgamated Bank's stock."">AMAL</a>",0.43,05/13/2021
10,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AIRC"" title=""Snapshot of Apartment Income REIT Corp's stock."">AIRC</a>",0.33,05/13/2021
11,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=AIT"" title=""Snapshot of Applied Industrial Technologies Inc's stock."">AIT</a>",0.88,05/13/2021
12,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=APAM"" title=""Snapshot of Artisan Partners Asset Management Inc's stock."">APAM</a>",0.14,05/13/2021
13,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BWFG"" title=""Snapshot of Bankwell Financial Group Inc's stock."">BWFG</a>",0.125,05/13/2021
14,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BSET"" title=""Snapshot of Bassett Furniture Industries Inc's stock."">BSET</a>",0.175,05/13/2021
15,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BSM"" title=""Snapshot of Black Stone Minerals LP's stock."">BSM</a>",0.12,05/13/2021
16,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BRKL"" title=""Snapshot of Brookline Bancorp Inc's stock."">BRKL</a>",0.12,05/13/2021
17,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=BFST"" title=""Snapshot of Business First Bancshares Inc's stock."">BFST</a>",0.0595,05/13/2021
18,,0.18,05/13/2021
19,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SCHW"" title=""Snapshot of Charles Schwab Corp's stock."">SCHW</a>",0.2525,05/13/2021
20,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CHD"" title=""Snapshot of Church &amp; Dwight Co Inc's stock."">CHD</a>",0.27,05/13/2021
21,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=XEC"" title=""Snapshot of Cimarex Energy Co's stock."">XEC</a>",0.75,05/13/2021
22,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CTAS"" title=""Snapshot of Cintas Corp's stock."">CTAS</a>",0.78,05/13/2021
23,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CCOI"" title=""Snapshot of Cogent Communications Holdings Inc's stock."">CCOI</a>",0.115,05/13/2021
24,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FIX"" title=""Snapshot of Comfort Systems USA Inc's stock."">FIX</a>",0.43,05/13/2021
25,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CHCT"" title=""Snapshot of Community Healthcare Trust Inc's stock."">CHCT</a>",0.43,05/13/2021
26,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=COP"" title=""Snapshot of ConocoPhillips's stock."">COP</a>",0.02714,05/13/2021
27,,0.05,05/13/2021
28,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CORR"" title=""Snapshot of CorEnergy Infrastructure Trust Inc's stock."">CORR</a>",0.13,05/13/2021
29,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CTVA"" title=""Snapshot of Corteva Inc's stock."">CTVA</a>",0.11,05/13/2021
30,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=CURO"" title=""Snapshot of CURO Group Holdings Corp's stock."">CURO</a>",0.01667,05/13/2021
31,,0.965,05/13/2021
32,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=DUK"" title=""Snapshot of Duke Energy Corp's stock."">DUK</a>",0.255,05/13/2021
33,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=DRE"" title=""Snapshot of Duke Realty Corp's stock."">DRE</a>",0.0975,05/13/2021
34,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EBMT"" title=""Snapshot of Eagle Bancorp Montana Inc's stock."">EBMT</a>",0.26,05/13/2021
35,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=DEA"" title=""Snapshot of Easterly Government Properties Inc's stock."">DEA</a>",0.76,05/13/2021
36,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ETN"" title=""Snapshot of Eaton Corporation PLC's stock."">ETN</a>",0.85,05/13/2021
37,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=LLY"" title=""Snapshot of Eli Lilly and Co's stock."">LLY</a>",0.505,05/13/2021
38,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EMR"" title=""Snapshot of Emerson Electric Co's stock."">EMR</a>",0.835,05/13/2021
39,,0.785,05/13/2021
40,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EVA"" title=""Snapshot of Enviva Partners LP's stock."">EVA</a>",0.2507,05/13/2021
41,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WTRG"" title=""Snapshot of Essential Utilities Inc's stock."">WTRG</a>",0.3825,05/13/2021
42,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=EXC"" title=""Snapshot of Exelon Corp's stock."">EXC</a>",0.47,05/13/2021
43,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FCNCA"" title=""Snapshot of First Citizens BancShares Inc (Delaware)'s stock."">FCNCA</a>",0.06,05/13/2021
44,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FNWB"" title=""Snapshot of First Northwest Bancorp's stock."">FNWB</a>",0.3,05/13/2021
45,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FCFS"" title=""Snapshot of FirstCash Inc's stock."">FCFS</a>",0.33,05/13/2021
46,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FTAI"" title=""Snapshot of Fortress Transportation and Infrastructure Investors LLC's stock."">FTAI</a>",0.025,05/13/2021
47,,0.02434,05/13/2021
48,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GWRS"" title=""Snapshot of Global Water Resources Inc's stock."">GWRS</a>",0.05,05/13/2021
49,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GSBD"" title=""Snapshot of Goldman Sachs BDC Inc's stock."">GSBD</a>",0.155,05/13/2021
50,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GRC"" title=""Snapshot of Gorman-Rupp Co's stock."">GRC</a>",0.01,05/13/2021
51,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GWB"" title=""Snapshot of Great Western Bancorp Inc's stock."">GWB</a>",0.12,05/13/2021
52,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=GCBC"" title=""Snapshot of Greene County Bancorp Inc's stock."">GCBC</a>",0.12,05/13/2021
53,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=HTH"" title=""Snapshot of Hilltop Holdings Inc's stock."">HTH</a>",0.93,05/13/2021
54,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=HON"" title=""Snapshot of Honeywell International Inc's stock."">HON</a>",0.9,05/13/2021
55,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SJM"" title=""Snapshot of J M Smucker Co's stock."">SJM</a>",0.08,05/13/2021
56,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=JBL"" title=""Snapshot of Jabil Inc's stock."">JBL</a>",0.18,05/13/2021
57,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=KR"" title=""Snapshot of Kroger Co's stock."">KR</a>",0.33,05/13/2021
58,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=LNN"" title=""Snapshot of Lindsay Corp's stock."">LNN</a>",0.28,05/13/2021
59,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MMS"" title=""Snapshot of Maximus Inc's stock."">MMS</a>",0.03,05/13/2021
60,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MSVB"" title=""Snapshot of Mid-Southern Bancorp Inc's stock."">MSVB</a>",0.2725,05/13/2021
61,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MSEX"" title=""Snapshot of Middlesex Water Co's stock."">MSEX</a>",0.28,05/13/2021
62,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MSBI"" title=""Snapshot of Midland States Bancorp Inc's stock."">MSBI</a>",0.25,05/13/2021
63,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MOG%2FA"" title=""Snapshot of Moog Inc's stock."">MOG/A</a>",0.78,05/13/2021
64,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=MSCI"" title=""Snapshot of MSCI Inc's stock."">MSCI</a>",0.47,05/13/2021
65,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=NP"" title=""Snapshot of Neenah Inc's stock."">NP</a>",0.7,05/13/2021
66,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=NXST"" title=""Snapshot of Nexstar Media Group Inc's stock."">NXST</a>",0.14,05/13/2021
67,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=NRT"" title=""Snapshot of North European Oil Royalty Trust's stock."">NRT</a>",0.26,05/13/2021
68,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=ODC"" title=""Snapshot of Oil-Dri Corporation of America's stock."">ODC</a>",0.12,05/13/2021
69,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=OPY"" title=""Snapshot of Oppenheimer Holdings Inc's stock."">OPY</a>",0.13,05/13/2021
70,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=OBNK"" title=""Snapshot of Origin Bancorp Inc's stock."">OBNK</a>",0.33,05/13/2021
71,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=OSK"" title=""Snapshot of Oshkosh Corp's stock."">OSK</a>",0.39,05/13/2021
72,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=OTTR"" title=""Snapshot of Otter Tail Corp's stock."">OTTR</a>",0.035,05/13/2021
73,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=OXSQ"" title=""Snapshot of Oxford Square Capital Corp's stock."">OXSQ</a>",0.06,05/13/2021
74,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PCSB"" title=""Snapshot of PCSB Financial Corp's stock."">PCSB</a>",0.3,05/13/2021
75,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PETS"" title=""Snapshot of Petmed Express Inc's stock."">PETS</a>",0.1,05/13/2021
76,,0.22,05/13/2021
77,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PSTL"" title=""Snapshot of Postal Realty Trust Inc's stock."">PSTL</a>",0.1,05/13/2021
78,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=FRST"" title=""Snapshot of Primis Financial Corp's stock."">FRST</a>",0.23,05/13/2021
79,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=PFS"" title=""Snapshot of Provident Financial Services Inc's stock."">PFS</a>",0.2,05/13/2021
80,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=RTLR"" title=""Snapshot of Rattler Midstream LP's stock."">RTLR</a>",0.0337,05/13/2021
81,,0.3,05/13/2021
82,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SAL"" title=""Snapshot of Salisbury Bancorp Inc's stock."">SAL</a>",0.11,05/13/2021
83,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SBFG"" title=""Snapshot of SB Financial Group Inc's stock."">SBFG</a>",2.25,05/13/2021
84,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SEB"" title=""Snapshot of Seaboard Corp's stock."">SEB</a>",0.25,05/13/2021
85,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SIGI"" title=""Snapshot of Selective Insurance Group Inc's stock."">SIGI</a>",0.09875,05/13/2021
86,,0.12,05/13/2021
87,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SHBI"" title=""Snapshot of Shore Bancshares Inc's stock."">SHBI</a>",0.47,05/13/2021
88,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SSB"" title=""Snapshot of South State Corp's stock."">SSB</a>",0.16,05/13/2021
89,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SMBC"" title=""Snapshot of Southern Missouri Bancorp Inc's stock."">SMBC</a>",0.1,05/13/2021
90,,0.12,05/13/2021
91,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=SSBI"" title=""Snapshot of Summit State Bank's stock."">SSBI</a>",0.04,05/13/2021
92,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TAIT"" title=""Snapshot of Taitron Components Inc's stock."">TAIT</a>",0.34,05/13/2021
93,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TFX"" title=""Snapshot of Teleflex Inc's stock."">TFX</a>",0.21,05/13/2021
94,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TSBK"" title=""Snapshot of Timberland Bancorp Inc's stock."">TSBK</a>",0.07833,05/13/2021
95,,0.45,05/13/2021
96,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=TFC"" title=""Snapshot of Truist Financial Corp's stock."">TFC</a>",0.35,05/13/2021
97,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=USPH"" title=""Snapshot of U.S. Physical Therapy Inc's stock."">USPH</a>",0.38,05/13/2021
98,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=UTL"" title=""Snapshot of Unitil Corp's stock."">UTL</a>",0.16,05/13/2021
99,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=UVE"" title=""Snapshot of Universal Insurance Holdings Inc's stock."">UVE</a>",0.32,05/13/2021
100,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=V"" title=""Snapshot of Visa Inc's stock."">V</a>",0.0276,05/13/2021
101,,0.6775,05/13/2021
102,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WEC"" title=""Snapshot of WEC Energy Group Inc's stock."">WEC</a>",0.25,05/13/2021
103,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WAL"" title=""Snapshot of Western Alliance Bancorp's stock."">WAL</a>",0.14,05/13/2021
104,"<a href=""/eresearch/evaluate/snapshot.jhtml?symbols=WING"" title=""Snapshot of Wingstop Inc's stock."">WING</a>",,05/13/2021
